src_ip,dst_ip,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,orig_p,resp_p,proto,service,conn_state
192.168.1.200,123.198.126.32,5.644593109592982,259.4725495718245,124.69233586985956,2,1,12855,80,tcp,dns,RSTR
192.168.1.5,217.125.201.206,0.2546851653845244,81.63349594167148,175.73895087811655,5,1,9108,8080,udp,dhcp,S0
192.168.1.23,187.94.75.208,2.125590188846286,663.7766853382235,2135.33929266335,3,11,29626,23,udp,dhcp,RSTO
192.168.1.182,17.206.93.211,2.0337176869524756,9270.951052961562,4189.234222016997,39,8,9154,23,tcp,-,RSTR
192.168.1.253,121.162.137.4,1.1837623701721771,210.81196281434856,3025.467532572413,59,9,10521,23,icmp,dhcp,RSTR
192.168.1.58,175.66.225.48,7.846709053822812,84.49914268226406,1880.433832575708,6,2,13197,443,tcp,dhcp,SH
192.168.1.22,10.0.0.10,0.0123871194331206,1169.6338476126004,30.447235736898993,56,3,44756,443,udp,dns,SH
192.168.1.91,78.32.253.27,1.0608851021637464,980.1959817497872,8556.364644451989,10,32,1911,53,icmp,-,REJ
192.168.1.245,193.88.16.147,5.435340018576824,60.54323710532417,213.40297896179212,4,2,16814,8080,icmp,dhcp,S0
192.168.1.13,62.174.0.51,0.1864021836735684,1117.8415474109606,4207.193682795698,2,10,59290,80,icmp,ssl,SF
192.168.1.165,6.103.26.210,0.0908446969632125,131.66346312363257,0.0,3,0,48215,22,icmp,ssh,S0
192.168.1.134,30.250.33.152,0.0140266779610136,149.06158842241632,0.0,3,0,53257,53,icmp,http,S0
192.168.1.194,196.194.226.228,0.1035790086414754,129.11010507200243,0.0,1,0,12396,443,tcp,http,S0
192.168.1.78,10.0.0.15,0.0066473408226892,1140.7535740847106,50.05492550243393,84,4,43162,8080,tcp,-,S0
192.168.1.140,112.16.247.26,0.0689532320394722,131.43974064623453,0.0,4,0,51335,2323,udp,ssl,S0
192.168.1.247,96.20.29.234,1.1236226778978478,167.63930978026426,148.518587916735,3,6,33387,80,tcp,-,S0
192.168.1.228,161.56.77.221,6.602535110824133,255.565664022677,181.23788202719567,4,5,10902,53,tcp,ssh,RSTO
192.168.1.131,64.73.123.114,0.1204087053425797,145.54916328171203,0.0,2,0,55213,8080,icmp,http,S0
192.168.1.239,192.122.48.243,0.6717577727770534,215.72164762267576,1416.879764438624,11,50,50836,22,tcp,dhcp,SF
192.168.1.39,110.6.128.152,0.7216979399646261,1312.538665024886,2553.238569937831,2,11,59609,23,tcp,dhcp,REJ
192.168.1.152,71.55.129.145,0.1341870251995788,470.5880032652512,868.0644359147543,22,34,2660,80,tcp,ssl,SF
192.168.1.247,10.78.91.113,0.054851405019692,137.55930388891238,0.0,4,0,7473,443,udp,-,S0
192.168.1.110,212.80.40.29,2.0872112369509677,3650.5287571151,32.160267635282786,9,74,59955,23,icmp,-,REJ
192.168.1.39,10.0.0.15,0.0081488682774782,1228.2788696483676,47.0928925664678,87,4,62626,8080,udp,http,SF
192.168.1.88,204.243.161.114,8.745443674676697,301.3006720661681,386.3340141007632,2,1,50516,443,icmp,http,RSTR
192.168.1.183,0.110.214.228,0.0292054796921994,176.68700651898598,0.0,1,0,37685,23,tcp,ssh,S0
192.168.1.96,141.176.103.71,0.1039609805981671,184.36814145296924,0.0,3,0,3857,8080,tcp,-,S0
192.168.1.242,97.15.170.64,2.020874974984779,674.2784164809561,488.3340490392143,11,9,24494,80,udp,ssh,SF
192.168.1.60,197.231.206.139,0.0927246480410694,4634.452226662664,345.91973667887686,24,13,10564,22,udp,-,RSTO
192.168.1.109,210.132.71.109,7.63929495779192,112.15652898589512,751.9257166614877,4,2,15273,443,icmp,http,REJ
192.168.1.56,237.205.70.95,6.576189174934603,1658.0440692671698,77.36867604228536,3,2,21046,8080,icmp,http,RSTO
192.168.1.25,10.0.0.10,0.0058731788105714,1133.9968043274173,61.40313415002608,83,0,56359,8080,icmp,ssh,S0
192.168.1.96,40.98.24.185,0.2305802945475271,125.89992957801944,0.0,4,0,45433,53,icmp,ssl,S0
192.168.1.139,84.198.60.217,2.9458191756232757,4129.719121355159,378.39423592901386,6,7,21435,23,icmp,dhcp,REJ
192.168.1.110,152.174.67.53,3.0327669821188596,442.7903935687288,1011.3604129598492,8,3,5968,23,tcp,http,SF
192.168.1.3,194.65.51.12,2.3074356375793013,307.30265662902667,79.9123684283481,4,2,24533,53,icmp,ssl,REJ
192.168.1.228,137.118.227.53,3.3416016483095823,166.37223353064334,172.48353134703976,3,2,3597,80,tcp,dns,SH
192.168.1.232,245.183.140.200,1.7189420066535257,474.72589245479503,138.9703439676205,19,7,28553,53,udp,dhcp,RSTR
192.168.1.245,176.174.143.9,0.0419151019355042,132.43473494353066,0.0,2,0,27017,22,udp,dhcp,S0
192.168.1.15,10.0.0.10,0.0228935007898693,1148.1448392788905,38.30106974374712,98,4,23784,443,icmp,dhcp,SH
192.168.1.24,10.0.0.20,0.0340238228393548,984.4409060256892,44.85217325085258,58,3,22996,23,udp,ssl,SH
192.168.1.76,180.149.219.79,0.049757717973356,104.72542781407152,0.0,1,0,62022,53,icmp,http,S0
192.168.1.19,231.201.155.39,10.514212464814204,67.67026440370533,326.9803508793552,3,1,50630,80,udp,dns,S0
192.168.1.16,61.169.194.170,0.3639494425341543,542.455117731295,9208.239196075345,20,7,12407,53,udp,ssl,REJ
192.168.1.242,29.135.9.103,0.0605769146421298,171.48535225819734,0.0,1,0,21049,53,tcp,dns,S0
192.168.1.37,10.0.0.15,0.0042418319379326,1152.6411219022891,32.212797510957216,56,1,25962,23,udp,ssh,REJ
192.168.1.131,10.0.0.15,0.0156409733333798,1303.1844539468634,35.14439626963028,25,4,10347,8080,icmp,http,RSTO
192.168.1.169,135.104.168.80,12.422647754965883,75.89719983665658,24.063401380982455,2,1,2165,23,icmp,ssl,RSTO
